市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
成都	锦江			157727 		
成都	青羊			163844 		
成都	金牛			124516 		
成都	武侯			205142 		
成都	成华			102571 		
成都	龙泉驿			109622 		
成都	青白江			134691 		
成都	新都			68520 		
成都	温江			72534 		
成都	双流			73934 		
成都	郫都			84385 		
成都	新津			134240 		
成都	金堂			80523 		
成都	大邑			67660 		
成都	蒲江			83529 		
成都	都江堰			70881 		
成都	彭州			84655 		
成都	邛崃			70917 		
成都	崇州			67565 		
成都	简阳			71198 		
自贡	自流井			95555 		
自贡	贡井			76747 		
自贡	大安			70815 		
自贡	沿滩			91826 		
自贡	荣县			59770 		
自贡	富顺			54010 		
攀枝花	东区			138262 		
攀枝花	西区			73331 		
攀枝花	仁和			101587 		
攀枝花	米易			86337 		
攀枝花	盐边			94480 		
泸州	江阳			106229 		
泸州	纳溪			69169 		
泸州	龙马潭			92907 		
泸州	泸县			60775 		
泸州	合江			46247 		
泸州	叙永			33512 		
泸州	古蔺			38027 		
德阳	旌阳			110940 		
德阳	罗江			87057 		
德阳	中江			49223 		
德阳	广汉			85562 		
德阳	什邡			115840 		
德阳	绵竹			100133 		
绵阳	涪城			108615 		
绵阳	游仙			90110 		
绵阳	安州			68340 		
绵阳	三台			56191 		
绵阳	盐亭			63368 		
绵阳	梓潼			74636 		
绵阳	北川			59445 		
绵阳	平武			60829 		
绵阳	江油			91344 		
广元	利州			64276 		
广元	昭化			63448 		
广元	朝天			69604 		
广元	旺苍			51483 		
广元	青川			40848 		
广元	剑阁			41567 		
广元	苍溪			42250 		
遂宁	船山			56351 		
遂宁	安居			61226 		
遂宁	蓬溪			50605 		
遂宁	大英			52118 		
遂宁	射洪			84358 		
内江	市中			80564 		
内江	东兴			41975 		
内江	威远			85754 		
内江	资中			40638 		
内江	隆昌			66910 		
乐山	市中			57543 		
乐山	沙湾			161143 		
乐山	五通桥			170581 		
乐山	金口河			101229 		
乐山	犍为			69212 		
乐山	井研			54077 		
乐山	夹江			78567 		
乐山	沐川			50083 		
乐山	峨边			57296 		
乐山	马边			34069 		
乐山	峨眉山			96944 		
南充	顺庆			62955 		
南充	高坪			42773 		
南充	嘉陵			46275 		
南充	南部			58682 		
南充	营山			44079 		
南充	蓬安			46312 		
南充	仪陇			37782 		
南充	西充			51476 		
南充	阆中			47871 		
眉山	东坡			67259 		
眉山	彭山			66642 		
眉山	仁寿			49033 		
眉山	洪雅			54286 		
眉山	丹棱			61272 		
眉山	青神			66444 		
宜宾	翠屏			164756 		
宜宾	南溪			71319 		
宜宾	叙州			67156 		
宜宾	江安			55096 		
宜宾	长宁			66432 		
宜宾	高县			57210 		
宜宾	珙县			65678 		
宜宾	筠连			61095 		
宜宾	兴文			54851 		
宜宾	屏山			48878 		
广安	广安			36816 		
广安	前锋			71194 		
广安	岳池			42742 		
广安	武胜			51363 		
广安	邻水			40227 		
广安	华蓥			72610 		
达州	通川			45221 		
达州	达川			36271 		
达州	宣汉			73934 		
达州	开江			40755 		
达州	大竹			54211 		
达州	渠县			46743 		
达州	万源			41111 		
雅安	雨城			76109 		
雅安	名山			53273 		
雅安	荥经			69723 		
雅安	汉源			54584 		
雅安	石棉			118940 		
雅安	天全			70787 		
雅安	芦山			68303 		
雅安	宝兴			106013 		
巴中	巴州			32737 		
巴中	恩阳			27836 		
巴中	通江			26646 		
巴中	南江			30654 		
巴中	平昌			28270 		
资阳	雁江			51529 		
资阳	安岳			36063 		
资阳	乐至			51154 		
阿坝	马尔康			117509 		
阿坝	汶川			109967 		
阿坝	理县			97051 		
阿坝	茂县			58421 		
阿坝	松潘			47333 		
阿坝	九寨沟			55871 		
阿坝	金川			44358 		
阿坝	小金			46805 		
阿坝	黑水			72832 		
阿坝	壤塘			34182 		
阿坝	阿坝			29137 		
阿坝	若尔盖			43913 		
阿坝	红原			45712 		
甘孜	康定			97190 		
甘孜	泸定			41544 		
甘孜	丹巴			52299 		
甘孜	九龙			68261 		
甘孜	雅江			76114 		
甘孜	道孚			30393 		
甘孜	炉霍			33651 		
甘孜	甘孜			30675 		
甘孜	新龙			33821 		
甘孜	德格			22763 		
甘孜	白玉			37376 		
甘孜	石渠			22790 		
甘孜	色达			28473 		
甘孜	理塘			38921 		
甘孜	巴塘			48223 		
甘孜	乡城			64717 		
甘孜	稻城			46494 		
甘孜	得荣			49148 		
凉山	西昌			77597 		
凉山	会理			61250 		
凉山	木里			53686 		
凉山	盐源			50564 		
凉山	德昌			45978 		
凉山	会东			55789 		
凉山	宁南			54343 		
凉山	普格			22020 		
凉山	布拖			24135 		
凉山	金阳			32252 		
凉山	昭觉			21283 		
凉山	喜德			25391 		
凉山	冕宁			39397 		
凉山	越西			22924 		
凉山	甘洛			27076 		
凉山	美姑			18827 		
凉山	雷波			34621 		
