市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
贵阳	南明	49235		94814		
贵阳	云岩	49517		90982		
贵阳	花溪	47526	24429	78155		
贵阳	乌当	47193	25595	57301		
贵阳	白云	47249	26908	59323		
贵阳	观山湖	47931	25851	113367		
贵阳	开阳	47159	22842	86717		
贵阳	息烽	46072	21853	81808		
贵阳	修文	46708	21943	67186		
贵阳	清镇	47092	23113	48741		
六盘水	钟山	43621	19935	46307		
六盘水	六枝	38645	14880	28124		
六盘水	水城	38358	14469	57151		
六盘水	盘州	39974	16053	63820		
遵义	红花岗	47975	22137	53208		
遵义	汇川	48100	22196	79682		
遵义	播州	47099	21630	50401		
遵义	桐梓	40046	18177	36141		
遵义	绥阳	41772	19360	35239		
遵义	正安	40373	15724	37362		
遵义	道真	40241	15481	39356		
遵义	务川	40005	15516	30107		
遵义	凤冈	39819	17232	34311		
遵义	湄潭	43457	20208	37809		
遵义	余庆	39607	17662	45430		
遵义	习水	42161	16404	46325		
遵义	赤水	43311	19058	51010		
遵义	仁怀	48134	19017	275552		
安顺	西秀	42601	17988	49451		
安顺	平坝	39773	15552	43586		
安顺	普定	38232	14003	43446		
安顺	镇宁	37893	13476	46672		
安顺	关岭	37838	13392	43377		
安顺	紫云	36213	13404	33071		
毕节	七星关	42945	14578	44165		
毕节	大方	39627	14495	31489		
毕节	金沙	42650	15706	50993		
毕节	织金	39352	14353	32898		
毕节	纳雍	39619	13628	28402		
毕节	威宁	39241	14386	25445		
毕节	赫章	38781	13421	25322		
毕节	黔西	40143	14773	35634		
铜仁	碧江	43736	19605	58489		
铜仁	万山	41020	14302	55146		
铜仁	江口	40069	14030	46314		
铜仁	玉屏	40946	17645	72217		
铜仁	石阡	38729	13880	46805		
铜仁	思南	39308	13719	42993		
铜仁	印江	38838	13579	47032		
铜仁	德江	39735	13767	43053		
铜仁	沿河	38154	13590	35189		
铜仁	松桃	38842	13676	41672		
黔西南	兴义	43975	18370	55464		
黔西南	兴仁	40215	14236	52778		
黔西南	普安	39963	13504	50312		
黔西南	晴隆	39442	12723	42111		
黔西南	贞丰	39969	14020	57198		
黔西南	望谟	39366	12471	52573		
黔西南	册亨	39615	12740	48461		
黔西南	安龙	39963	13715	45794		
黔东南	凯里	43324	18123	43620		
黔东南	黄平	40330	13548	29997		
黔东南	施秉	40201	14731	34807		
黔东南	三穗	41275	14687	35350		
黔东南	镇远	40321	14343	37658		
黔东南	岑巩	40053	14323	39601		
黔东南	天柱	39928	14486	33433		
黔东南	锦屏	38860	13238	39171		
黔东南	剑河	39929	13433	36711		
黔东南	台江	38580	13046	39314		
黔东南	黎平	40320	13445	26866		
黔东南	榕江	39596	13671	32498		
黔东南	从江	40822	14284	27081		
黔东南	雷山	40240	14286	39436		
黔东南	麻江	39335	13713	38014		
黔东南	丹寨	41103	14082	35552		
黔南	都匀	45420	18492	46401		
黔南	福泉	44192	16991	85777		
黔南	荔波	41058	15673	51667		
黔南	贵定	40707	16497	54593		
黔南	瓮安	42477	17057	45458		
黔南	独山	40699	16311	51239		
黔南	平塘	39497	15440	42895		
黔南	罗甸	38938	16109	35136		
黔南	长顺	38978	15825	48981		
黔南	龙里	43772	17383	97017		
黔南	惠水	41556	16586	39179		
黔南	三都	39034	15760	36669		
