市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
无锡	江阴	88606	50446	287017		
无锡	宜兴	75665	42890	191380		
徐州	丰县	38372	26488	67038		
徐州	沛县	45637	29973	110083		
徐州	睢宁	38736	26158	72283		
徐州	新沂	42175	27776	107586		
徐州	邳州	47419	29383	94777		
常州	溧阳	69191	39842	211775		
苏州	常熟	87265	49415	183067		
苏州	张家港	87211	49510	234505		
苏州	昆山	87546	49712	249793		
苏州	太仓	86613	49096	221836		
南通	如东	61946	31867	163612		
南通	启东	62946	37055	158553		
南通	如皋	61528	31776	132581		
南通	海安	62836	34067	174077		
连云港	东海	45661	27302	77198		
连云港	灌云	38405	24519	69800		
连云港	灌南	40706	23376	86115		
淮安	涟水	42463	25247	99038		
淮安	盱眙	50970	27247	97834		
淮安	金湖	51426	29848	161357		
盐城	响水	41812	27195	112999		
盐城	滨海	44372	27636	83390		
盐城	阜宁	42678	28378	98646		
盐城	射阳	44757	30548	103386		
盐城	建湖	49188	31311	128630		
盐城	东台	54473	36273	134592		
扬州	宝应	45394	31685	144777		
扬州	仪征	61335	32433	203149		
扬州	高邮	52765	31509	155030		
镇江	丹阳	67924	39281	157004		
镇江	扬中	74534	43416	210676		
镇江	句容	65055	34239	126745		
泰州	兴化	56427	32024	111103		
泰州	靖江	67195	37183	212510		
泰州	泰兴	62068	34290	148755		
宿迁	沭阳	40199	26724	93954		
宿迁	泗阳	40054	26405	94858		
宿迁	泗洪	38802	25914	89319		
