市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
郑州	中原	54124		99319 		
郑州	二七	54405	36398	84289 		
郑州	管城	50993	38303	169277 		
郑州	金水	60255	38250	152159 		
郑州	上街	58095		86750 		
郑州	惠济	43419	36952	64695 		
郑州	中牟	40136	29154	85658 		
郑州	巩义	42802	34508	131343 		
郑州	荥阳	42496	30282	78190 		
郑州	新密	42929	30268	85210 		
郑州	新郑	43978	32436	123358 		
郑州	登封	41902	27383	67786 		
开封	龙亭	40386	23345	62536 		
开封	顺河	39723	22342	68284 		
开封	鼓楼	41564	23553	88581 		
开封	禹王台	38215	22432	89357 		
开封	祥符	33290	20482	49989 		
开封	杞县	31139	21492	45716 		
开封	通许	32325	22257	55196 		
开封	尉氏	35837	22356	66853 		
开封	兰考	33962	20985	60385 		
洛阳	老城	48945	22921	73388 		
洛阳	西工	57408	26013	159981 		
洛阳	瀍河	49621	25689	59571 		
洛阳	涧西	51445	24323	114782 		
洛阳	偃师	42486	28406	84386 		
洛阳	孟津	44367	21888	109349 		
洛阳	洛龙	51898	23727	89537 		
洛阳	新安	46848	24278	92621 		
洛阳	栾川	44300	19121	99681 		
洛阳	嵩县	40123	19061	44877 		
洛阳	汝阳	37363	17827	47288 		
洛阳	宜阳	38996	17885	57586 		
洛阳	洛宁	39883	17730	61008 		
洛阳	伊川	42277	23066	56649 		
平顶山	新华	45592	26011	114344 		
平顶山	卫东	44913	26832	75580 		
平顶山	石龙	35532	23130	142059 		
平顶山	湛河	45891	26851	74626 		
平顶山	宝丰	40972	24254	66051 		
平顶山	叶县	39458	19128	36175 		
平顶山	鲁山	37856	15119	29296 		
平顶山	郏县	38928	18711	47720 		
平顶山	舞钢	41974	21864	58841 		
平顶山	汝州	37380	24640	54488 		
安阳	文峰	46528	26744	48154 		
安阳	北关	41891	27771	58955 		
安阳	殷都	44471	26543	38519 		
安阳	龙安	40569	23755	69079 		
安阳	安阳	37395	24105	42949 		
安阳	汤阴	35999	21776	44846 		
安阳	滑县	35148	18670	40701 		
安阳	内黄	29178	18872	29919 		
安阳	林州	40125	28834	78429 		
鹤壁	鹤山	39064	24701	162085 		
鹤壁	山城	41246	25994	84105 		
鹤壁	淇滨	47954	24046	71109 		
鹤壁	浚县	33266	26944	46462 		
鹤壁	淇县	38913	27232	92984 		
新乡	红旗	44033	24427	91877 		
新乡	卫滨	43517		57947 		
新乡	凤泉	39012	22281	55200 		
新乡	牧野	44681	26666	49934 		
新乡	新乡	42399	27779	93800 		
新乡	获嘉	32725	22800	51770 		
新乡	原阳	34218	20512	43064 		
新乡	延津	34665	23154	45107 		
新乡	封丘	34396	18101	35825 		
新乡	卫辉	34617	22858	49308 		
新乡	辉县	42883	24666	46002 		
新乡	长垣	39634	30586	78347 		
焦作	解放	44635		55873 		
焦作	中站	36939		156095 		
焦作	马村	36743		79604 		
焦作	山阳	44057		73440 		
焦作	修武	39906	25993	54223 		
焦作	博爱	40078	25995	54741 		
焦作	武陟	39923	26863	55548 		
焦作	温县	39066	26868	59681 		
焦作	沁阳	40776	28430	84830 		
焦作	孟州	40239	28097	71047 		
濮阳	华龙	44753	24418	79973 		
濮阳	清丰	32185	23658	44507 		
濮阳	南乐	32553	21894	45930 		
濮阳	范县	28885	17107	63447 		
濮阳	台前	27957	16167	49371 		
濮阳	濮阳	36278	22293	36135 		
许昌	魏都	45426		90493 		
许昌	建安	39655	25494	83164 		
许昌	鄢陵	38878	25588	77953 		
许昌	襄城	38638	24691	65965 		
许昌	禹州	43247	26578	70843 		
许昌	长葛	40120	26427	89155 		
漯河	源汇	47715	29539	83593 		
漯河	郾城	46228	28899	61381 		
漯河	召陵	43518	28164	120565 		
漯河	舞阳	32398	16853	61049 		
漯河	临颍	36619	25527	71734 		
三门峡	湖滨	40269		112440 		
三门峡	陕州	36848	20198	95055 		
三门峡	渑池	40618	25205	80214 		
三门峡	卢氏	34404	15558	47967 		
三门峡	义马	37636		95242 		
三门峡	灵宝	39390	25740	70700 		
南阳	宛城	47912	23840	57421 		
南阳	卧龙	48204	23420	62175 		
南阳	南召	37792	18756	43190 		
南阳	方城	39056	20362	41356 		
南阳	西峡	44915	25944	78912 		
南阳	镇平	39255	22624	41661 		
南阳	内乡	40246	21879	58899 		
南阳	淅川	42457	19820	56570 		
南阳	社旗	35029	18577	41818 		
南阳	唐河	40371	21833	45857 		
南阳	新野	39893	24538	53291 		
南阳	桐柏	38363	18567	64471 		
南阳	邓州	39990	24122	43431 		
商丘	梁园	40624	18194	42793 		
商丘	睢阳	39554	17933	34548 		
商丘	民权	35943	17497	42356 		
商丘	睢县	37673	17667	42759 		
商丘	宁陵	32160	17433	37996 		
商丘	柘城	34368	17863	36079 		
商丘	虞城	37975	18343	41768 		
商丘	夏邑	39563	17950	35179 		
商丘	永城	43535	22794	61550 		
信阳	浉河	41251	25088	56338 		
信阳	平桥	40950	22279	53195 		
信阳	罗山	37267	20581	51284 		
信阳	光山	37447	21257	44893 		
信阳	新县	37243	21268	65733 		
信阳	商城	36863	20249	55144 		
信阳	固始	37510	22335	46049 		
信阳	潢川	38076	22832	53802 		
信阳	淮滨	36431	19185	50186 		
信阳	息县	36947	19337	44942 		
周口	川汇	37916	23035	49918 		
周口	淮阳	34470	16500	33197 		
周口	扶沟	33195	17986	50013 		
周口	西华	33362	16798	40347 		
周口	商水	33316	16933	38729 		
周口	沈丘	34735	17349	43606 		
周口	郸城	35003	17907	42024 		
周口	太康	32883	17968	34388 		
周口	鹿邑	36592	20424	56270 		
周口	项城	35982	19147	39250 		
驻马店	驿城	43366	18512	62184 		
驻马店	西平	35303	19466	49379 		
驻马店	上蔡	35648	18383	31925 		
驻马店	平舆	37930	19171	47180 		
驻马店	正阳	32343	18237	50064 		
驻马店	确山	36105	18558	63526 		
驻马店	泌阳	37339	18640	52407 		
驻马店	汝南	32823	18636	49297 		
驻马店	遂平	36591	19296	61920 		
驻马店	新蔡	34135	19158	40746 		
