市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
杭州	上城	85343		201112		
杭州	拱墅	86062		184937		
杭州	西湖	89203		198597		
杭州	滨江	85734		527449		
杭州	萧山	84386	55724	112995		
杭州	余杭	87994	58647	237402		
杭州	临平	85142	55472	103578		
杭州	钱塘	85656	60344	176332		
杭州	富阳	77071	50322	116966		
杭州	临安	72693	46827	112065		
杭州	桐庐	69410	45071	109143		
杭州	淳安	59815	29260	91997		
杭州	建德	66919	40417	103801		
宁波	海曙	88193	52496	163799		
宁波	江北	86028	54025	196496		
宁波	北仑	85700	53405	337602		
宁波	镇海	87783	53370	286921		
宁波	鄞州	91698	56491	183045		
宁波	奉化	73485	46510	186653		
宁波	象山	75293	46453	163146		
宁波	宁海	78165	47510	150111		
宁波	余姚	79704	51286	132921		
宁波	慈溪	79731	53289	155738		
温州	鹿城	91004	52453	123791		
温州	龙湾	81740		133221		
温州	瓯海	84207	53418	96708		
温州	洞头	66056	44201	123401		
温州	永嘉	67724	36571	68630		
温州	平阳	69182	37885	88954		
温州	苍南	65009	35590	63911		
温州	文成	54180	27746	56666		
温州	泰顺	54942	28607	68149		
温州	瑞安	86568	48401	94285		
温州	乐清	85218	51602	125532		
温州	龙港	72007	40824	93515		
嘉兴	南湖	71919	50854	125242		
嘉兴	秀洲	71215	50277	135006		
嘉兴	嘉善	79383	52592	143887		
嘉兴	海盐	80870	53025	153031		
嘉兴	海宁	81976	54206	126097		
嘉兴	平湖	81166	52997	155259		
嘉兴	桐乡	76527	52215	126847		
湖州	吴兴	79197	51713	122120		
湖州	南浔	74795	50302	108736		
湖州	德清	78454	52308	129256		
湖州	长兴	78704	51731	135438		
湖州	安吉	75002	48879	112221		
绍兴	越城	77236	51603	124708		
绍兴	柯桥	91621	58679	199494		
绍兴	上虞	84794	49789	171386		
绍兴	新昌	78727	44521	159627		
绍兴	诸暨	87401	55528	150878		
绍兴	嵊州	79229	45556	114896		
金华	婺城	70881	34048	88945		
金华	金东	62232	38307	79387		
金华	武义	56647	28901	83608		
金华	浦江	63707	34020	68574		
金华	磐安	53138	27134	86487		
金华	兰溪	60746	31897	95248		
金华	义乌	97170	54407	131040		
金华	东阳	74473	45772	79995		
金华	永康	75749	44395	85432		
衢州	柯城	66845	38422	128314		
衢州	衢江	54063	32696	96348		
衢州	常山	53897	32902	84114		
衢州	开化	50630	28459	83055		
衢州	龙游	67687	37479	91718		
衢州	江山	65203	38739	87229		
舟山	定海	86777	52114	151671		
舟山	普陀	77186	51511	126304		
舟山	岱山	71278	52376	370798		
舟山	嵊泗	70997	50073	267224		
台州	椒江	84475	43596	99339		
台州	黄岩	78091	44090	95404		
台州	路桥	92107	47880	124405		
台州	三门	62352	36682	99680		
台州	天台	62866	34504	83601		
台州	仙居	58356	33138	80517		
台州	温岭	81017	47374	97802		
台州	临海	71682	42083	87539		
台州	玉环	92308	50402	123648		
丽水	莲都	65255	41945	103173		
丽水	青田	62717	37934	61835		
丽水	缙云	59923	33125	83825		
丽水	遂昌	62434	30876	100438		
丽水	松阳	56025	29812	85507		
丽水	云和	57536	29743	93947		
丽水	庆元	55332	27970	81150		
丽水	景宁	52753	30461	107836		
丽水	龙泉	62066	35059	79954		
