市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
兰州	城关	57417	38930	83218		
兰州	七里河	48934	29782	88888		
兰州	西固	56096	29558	120983		
兰州	安宁	51475 		65390		
兰州	红古	42989	31082	106587		
兰州	永登	33622	17521	61767		
兰州	皋兰	31920	17488	81017		
兰州	榆中	34030	17303	43314		
嘉峪关	嘉峪关	55821	30742	117665		
金昌	金川	58971	28522	187941		
金昌	永昌	40871	21393	75421		
白银	白银	50675	23371	97622		
白银	平川	48854	15862	60359		
白银	靖远	35548	15594	34423		
白银	会宁	26133	12217	23080		
白银	景泰	36966	17584	44292		
天水	秦州	40957	14424	44553		
天水	麦积	37996	12505	44201		
天水	清水	35280	11359	24841		
天水	秦安	36779	12691	28437		
天水	甘谷	36631	12453	23652		
天水	武山	34858	12978	24935		
天水	张家川	34537	11253	21428		
武威	凉州	42053	22676	48396		
武威	民勤	33856	21230	79602		
武威	古浪	31725	11283	45781		
武威	天祝	34856	12287	57769		
张掖	甘州	36983	23205	57754		
张掖	肃南	39130	27261	163983		
张掖	民乐	33439	18896	47614		
张掖	临泽	35435	23582	71242		
张掖	高台	35297	22144	65272		
张掖	山丹	36178	21129	64989		
平凉	崆峒	39119	16822	43474		
平凉	泾川	35127	15768	27381		
平凉	灵台	32191	13503	36996		
平凉	崇信	46204	13067	88208		
平凉	庄浪	38596	11097	31138		
平凉	静宁	35869	12322	31855		
平凉	华亭	46466	14234	64190		
酒泉	肃州	53636	27053	69633		
酒泉	金塔	47041	27748	87976		
酒泉	瓜州	44430	26672	151563		
酒泉	肃北	51761	39187	203858		
酒泉	阿克塞	53471	42283	146489		
酒泉	玉门	46240	27359	205288		
酒泉	敦煌	46880	27468	55389		
庆阳	西峰	44308	16002	63371		
庆阳	庆城	41762	13729	68039		
庆阳	环县	41405	13846	59050		
庆阳	华池	42714	13768	150278		
庆阳	合水	40121	14071	78137		
庆阳	正宁	39703	15172	35653		
庆阳	宁县	41668	14178	30148		
庆阳	镇原	40331	13842	34316		
定西	安定	36741	12670	44065		
定西	通渭	32764	10923	28433		
定西	陇西	33675	13475	28828		
定西	渭源	33568	12100	27428		
定西	临洮	34851	12729	26695		
定西	漳县	33624	11421	28954		
定西	岷县	33979	11490	22703		
陇南	武都	35493	12337	37086		
陇南	成县	32672	13973	39542		
陇南	文县	31218	10809	37943		
陇南	宕昌	31825	10897	18365		
陇南	康县	31955	10866	20799		
陇南	西和	32369	11007	16536		
陇南	礼县	30823	11035	18649		
陇南	徽县	32386	13996	41223		
陇南	两当	33914	10760	39947		
临夏	临夏	29788	21919	32848		
临夏	临夏	28536	11948	21668		
临夏	康乐	28611	11568	18600		
临夏	永靖	28430	11252	53070		
临夏	广河	27513	12394	15549		
临夏	和政	27983	10705	20426		
临夏	东乡	27030	9093	18942		
临夏	积石山	27699	9714	16620		
甘南	合作	34490	12828	62255		
甘南	临潭	33678	12216	24742		
甘南	卓尼	34395	12461	36353		
甘南	舟曲	33809	12281	30004		
甘南	迭部	33663	12193	45555		
甘南	玛曲	35653	15231	39764		
甘南	碌曲	35256	14952	50116		
甘南	夏河	34510	12738	31251		
