市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP
昆明	五华	56570 	28442 	120419
昆明	盘龙	56790 	28609 	113396
昆明	官渡	56519 	29878 	94369
昆明	西山	56494 	29336 	110591
昆明	东川	42558 	13253 	54718
昆明	呈贡	56207 	28925 	81608
昆明	晋宁	51180 	23262 	64262
昆明	富民	50736 	21704 	79552
昆明	宜良	51706 	22065 	63186
昆明	石林	52039 	21794 	56307
昆明	嵩明	51665 	21565 	41527
昆明	禄劝	42848 	13607 	44006
昆明	寻甸	44730 	14056 	36057
昆明	安宁	55624 	26753 	143497
曲靖	麒麟	49493 	25211 	122683
曲靖	沾益	45579 	21371 	106305
曲靖	马龙	43225 	17336 	72963
曲靖	陆良	41050 	22344 	61470
曲靖	师宗	40720 	17964 	61209
曲靖	罗平	43190 	22262 	69285
曲靖	富源	45169 	18848 	51865
曲靖	会泽	40899 	15877 	50655
曲靖	宣威	46306 	18575 	46431
玉溪	红塔	50541 	25085 	183425
玉溪	江川	47477 	19971 	74038
玉溪	通海	48277 	24478 	70769
玉溪	华宁	48588 	21183 	77915
玉溪	易门	48157 	20340 	114110
玉溪	峨山	48461 	19695 	100639
玉溪	新平	48775 	20146 	106533
玉溪	元江	47527 	19134 	78806
玉溪	澄江	49415 	22676 	92625
保山	隆阳	47713 	18903 	50142
保山	施甸	36013 	15681 	37458
保山	龙陵	36692 	16218 	56896
保山	昌宁	39345 	16627 	65143
保山	腾冲	41751 	17398 	53460
昭通	昭阳	41453 	16192 	51878
昭通	鲁甸	33662 	14395 	26351
昭通	巧家	33751 	14586 	35194
昭通	盐津	34431 	14693 	25035
昭通	大关	32472 	13875 	27032
昭通	永善	33195 	14264 	46548
昭通	绥江	34211 	14727 	38523
昭通	镇雄	33290 	14846 	20666
昭通	彝良	32480 	13541 	27484
昭通	威信	32627 	14242 	25915
昭通	水富	43127 	16734 	104569
丽江	古城	49883 	26838 	82537
丽江	玉龙	36570 	17479 	52868
丽江	永胜	36489 	17264 	36914
丽江	华坪	45378 	18709 	70558
丽江	宁蒗	30672 	12008 	35228
普洱	思茅	41224 	16838 	58444
普洱	宁洱	40353 	16621 	49453
普洱	墨江	36929 	15420 	37041
普洱	景东	37191 	16236 	42363
普洱	景谷	39864 	16618 	52744
普洱	镇沅	37201 	16560 	54048
普洱	江城	37583 	15454 	61021
普洱	孟连	32709 	15182 	42816
普洱	澜沧	35828 	15308 	34230
普洱	西盟	32832 	15114 	37459
临沧	临翔	38153 	16436 	56562
临沧	凤庆	37069 	16772 	49201
临沧	云县	36837 	17214 	43686
临沧	永德	36222 	16409 	32594
临沧	镇康	35972 	16115 	47495
临沧	双江	36139 	16604 	50655
临沧	耿马	37702 	17474 	54468
临沧	沧源	35339 	16008 	43281
楚雄	楚雄	47697 	17907 	103141
楚雄	禄丰	46924 	18362 	77810
楚雄	双柏	47144 	15967 	61427
楚雄	牟定	46757 	16220 	70477
楚雄	南华	45849 	16594 	64850
楚雄	姚安	46267 	17453 	64130
楚雄	大姚	46281 	16677 	68598
楚雄	永仁	45864 	15839 	74757
楚雄	元谋	47422 	19214 	68004
楚雄	武定	46700 	15630 	60443
红河	个旧	45451 	23283 	99987
红河	开远	45798 	23582 	99337
红河	蒙自	46506 	21331 	80190
红河	弥勒	46256 	20691 	99184
红河	屏边	39671 	13458 	60287
红河	建水	43581 	21409 	51382
红河	石屏	41879 	19440 	55824
红河	泸西	41470 	18950 	47206
红河	元阳	39755 	13362 	29722
红河	红河	39952 	13268 	31311
红河	金平	40420 	13459 	29899
红河	绿春	39819 	13389 	30467
红河	河口	43712 	18902 	137511
文山	文山	43244 	17243 	63135
文山	砚山	42605 	16563 	56826
文山	西畴	36253 	14919 	35366
文山	麻栗坡	35773 	15530 	49402
文山	马关	39507 	15654 	44906
文山	丘北	35926 	15934 	27962
文山	广南	35334 	14805 	25393
文山	富宁	38532 	15989 	41182
西双版纳	景洪	43906 	22895 	61093
西双版纳	勐海	38669 	17771 	55576
西双版纳	勐腊	34050 	16694 	58258
大理	大理	47591 	24015 	70166
大理	漾濞	39973 	16399 	42957
大理	祥云	45492 	17832 	50610
大理	宾川	44182 	22810 	51699
大理	弥渡	42111 	15227 	38959
大理	南涧	42233 	14130 	50177
大理	巍山	41614 	15184 	42270
大理	永平	41833 	15423 	49826
大理	云龙	39234 	14813 	43339
大理	洱源	42053 	16095 	36217
大理	剑川	39742 	13682 	41490
大理	鹤庆	43308 	15642 	58052
德宏	瑞丽	38074 	15167 	68655
德宏	芒市	36066 	16567 	42088
德宏	梁河	32365 	12977 	30589
德宏	盈江	32948 	14587 	40741
德宏	陇川	31367 	13232 	39064
怒江	泸水	33030 	10409 	50039
怒江	福贡	30115 	10012 	27757
怒江	贡山	30195 	10009 	61641
怒江	兰坪	32604 	10406 	56479
迪庆	香格里拉	46016 	13524 	99160
迪庆	德钦	47930 	13438 	83817
迪庆	维西	41463 	13393 	46985
