市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
合肥	瑶海	61440				
合肥	庐阳	68061				
合肥	蜀山	69206				
合肥	包河	70092				
合肥	长丰	48272	29910	115913		
合肥	肥东	50511	32749	99615		
合肥	肥西	53275	33479	115787		
合肥	庐江	45106	29018	71255		
合肥	巢湖	48206	30543	86826		
淮北	杜集	42230	19893			
淮北	相山	49451	19276			
淮北	烈山	40649	19048			
淮北	濉溪	39797	18661	65861		
亳州	谯城	45187	21423			
亳州	涡阳	36899	18143	40793		
亳州	蒙城	41776	19935	44200		
亳州	利辛	40690	18000	35706		
宿州	埇桥	44891	18692			
宿州	砀山	39381	18655	35751		
宿州	萧县	38820	18136	42954		
宿州	灵璧	36861	18383	34476		
宿州	泗县	37104	17508	40276		
蚌埠	龙子湖	57824	21095			
蚌埠	蚌山	51669	21805			
蚌埠	禹会	46076	20551			
蚌埠	淮上	47501	20886			
蚌埠	怀远	41446	22623	40690		
蚌埠	五河	40945	22486	55747		
蚌埠	固镇	41512	22588	61327		
阜阳	颍州	46363	20824			
阜阳	颍东	39115	17162			
阜阳	颍泉	41577	18375			
阜阳	界首	43307	19933	66177		
阜阳	临泉	38108	17640	29886		
阜阳	太和	41388	18454	38910		
阜阳	阜南	37913	17373	29043		
阜阳	颍上	40926	18403	42905		
淮南	大通	47806	22276			
淮南	田家庵	53875	23742			
淮南	谢家集	46697	22587			
淮南	八公山	42874	22870			
淮南	潘集	46646	20988			
淮南	凤台	44106	21218	66454		
淮南	寿县	34897	16371	32832		
滁州	琅琊	52220	21410			
滁州	南谯	49770	20816			
滁州	天长	46526	28232	114513		
滁州	明光	39714	18790	62743		
滁州	来安	45699	20204	97158		
滁州	全椒	41133	20574	87988		
滁州	定远	39353	18733	58143		
滁州	凤阳	36130	17811	82059		
六安	金安	46044	19873			
六安	裕安	46677	20047			
六安	叶集	38259	18226			
六安	霍邱	36309	17454	31826		
六安	舒城	38253	18844	56651		
六安	金寨	35287	17672	51342		
六安	霍山	40726	20678	78035		
马鞍山	花山	73963	43138			
马鞍山	雨山	77205	42346			
马鞍山	博望	58258	35454			
马鞍山	当涂	52857	37351	145066		
马鞍山	含山	44616	28922	81555		
马鞍山	和县	46203	29036	92459		
芜湖	镜湖	60972	38447			
芜湖	弋江	56796				
芜湖	鸠江	54660	33618			
芜湖	湾沚	51011	34355			
芜湖	繁昌	50916	34129			
芜湖	三山	49157	33755			
芜湖	无为	49645	27959	78513		
芜湖	南陵	48859	34014	80935		
宣城	宣州	51335	24196			
宣城	宁国	56670	26741	118668		
宣城	广德	55399	27229	81517		
宣城	郎溪	49648	23190	70516		
宣城	泾县	41935	21333	59305		
宣城	绩溪	45845	19709	75546		
宣城	旌德	36802	19022	60639		
铜陵	铜官	58908	39926			
铜陵	郊区	45350	20552			
铜陵	义安	46486	33866			
铜陵	枞阳	35357	18569	43749		
池州	贵池	44967	23250			
池州	东至	41306	22398	67112		
池州	石台	37846	16214	45264		
池州	青阳	44268	23555	80285		
安庆	迎江	55610	24467			
安庆	大观	54365	23782			
安庆	宜秀	39350	24683			
安庆	桐城	42791	23007	79552		
安庆	潜山	41996	18183	56050		
安庆	怀宁	44113	22221	71969		
安庆	太湖	37093	17436	50943		
安庆	宿松	36219	17423	45178		
安庆	望江	38043	17587	46097		
安庆	岳西	36095	17534	42942		
黄山	屯溪	50286	24781			
黄山	黄山	48194	24126			
黄山	徽州	50267	24624			
黄山	歙县	41867	23330	71246		
黄山	休宁	41955	23097	68647		
黄山	黟县	40510	23783	76322		
黄山	祁门	41742	23032	66330		
