市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
南宁	兴宁	48426 	21743 	65636	41948000000	639100
南宁	青秀	57832 	22714 	120630	138833000000	1150900
南宁	江南	43428 	22026 	60925	61747000000	1013500
南宁	西乡塘	42654 	20311 	60081	100599000000	1674400
南宁	良庆	39252 	22015 	68357	42074000000	615500
南宁	邕宁	40430 	20970 	51920	17928000000	345300
南宁	武鸣	43050 	23819 	60409	42365000000	701300
南宁	隆安	34306 	17821 	39125	12876000000	329100
南宁	马山	34569 	16333 	27939	10712000000	383400
南宁	上林	33834 	16834 	31023	11249000000	362600
南宁	宾阳	41633 	20758 	37982	30967000000	815300
南宁	横州	42166 	20469 	39111	35607000000	910400
柳州	城中	53920 		195256	47623000000	243900
柳州	鱼峰	48954 	33639 	71280	47929000000	672400
柳州	柳南	50334 	30766 	78463	48506000000	618200
柳州	柳北	49277 	25035 	121061	58424000000	482600
柳州	柳江	45234 	20466 	59897	30098000000	502500
柳州	柳城	41648 	20760 	72973	22848000000	313100
柳州	鹿寨	44579 	21153 	58569	19726000000	336800
柳州	融安	36854 	19389 	50471	12744000000	252500
柳州	融水	37170 	19095 	35090	14471000000	412400
柳州	三江	36618 	18479 	28884	9217000000	319100
桂林	秀峰	44700 		66380	10727000000	161600
桂林	叠彩	44342 	 	49117	10010000000	203800
桂林	象山	44789 		68433	19647000000	287100
桂林	七星	46841 		73631	28753000000	390500
桂林	雁山	42021 	20040 	28169	3769000000	133800
桂林	临桂	46701 	24733 	51081	28825000000	564300
桂林	阳朔	48201 	24774 	48187	13155000000	273000
桂林	灵川	44961 	22669 	48849	20917000000	428200
桂林	全州	42253 	22485 	40297	22832000000	566600
桂林	兴安	44076 	25728 	56968	17455000000	306400
桂林	永福	44770 	20981 	51827	11884000000	229300
桂林	灌阳	40759 	16256 	41303	8591000000	208000
桂林	龙胜	41331 	17806 	53866	7482000000	138900
桂林	资源	41298 	17049 	46866	6519000000	139100
桂林	平乐	42806 	21076 	45131	15358000000	340300
桂林	恭城	40747 	18568 	41277	10121000000	245200
桂林	荔浦	43036 	22082 	48721	16302000000	334600
梧州	万秀	41774 	24054 	95995	26197000000	272900
梧州	长洲	42387 	22677 	76531	23189000000	303000
梧州	龙圩	37022 	18042 	80127	23253000000	290200
梧州	苍梧	30615 	14005 	29506	8191000000	277600
梧州	藤县	37064 	18742 	41704	33276000000	797900
梧州	蒙山	36155 	16049 	55760	9167000000	164400
梧州	岑溪	41865 	21891 	35494	25804000000	727000
北海	海城	44719 	22472 	107741	57943000000	537800
北海	银海	43156 	23341 	75801	24499000000	323200
北海	铁山港	42766 	21833 	372181	55455000000	149000
北海	合浦	42548 	20679 	42342	37193000000	878400
防城港	港口	45523 	23703 	275652	69161000000	250900
防城港	防城	44248 	22004 	39497	15858000000	401500
防城港	上思	29734 	18151 	49458	9674000000	195600
防城港	东兴	47885 	25181 	40122	8867000000	221000
钦州	钦南	43609 	20052 	132637	90843000000	684900
钦州	钦北	42398 	19386 	57481	41622000000	724100
钦州	灵山	42856 	19186 	29320	35873000000	1223500
钦州	浦北	42509 	18938 	40641	27790000000	683800
贵港	港北	41647 	21743 	50517	38797000000	768000
贵港	港南	40400 	21176 	46390	23348000000	503300
贵港	覃塘	39477 	22073 	60649	24842000000	409600
贵港	平南	39160 	20438 	28408	31462000000	1107500
贵港	桂平	38524 	21403 	25585	38899000000	1520400
玉林	玉州	49534 	25120 	62104	56800000000	914600
玉林	福绵	45951 	21899 	43973	14089000000	320400
玉林	容县	40157 	21176 	35085	23072000000	657600
玉林	陆川	39222 	21286 	31118	25159000000	808500
玉林	博白	36742 	21274 	26266	36649000000	1395300
玉林	兴业	37164 	20117 	39579	20205000000	510500
玉林	北流	46039 	23919 	35712	43469000000	1217200
百色	右江	42102 	22123 	78652	36691000000	466500
百色	田阳	40471 	20446 	69420	20958000000	301900
百色	田东	42510 	22021 	57011	19800000000	347300
百色	德保	40887 	15902 	55365	14489000000	261700
百色	那坡	31529 	12683 	33100	5435000000	164200
百色	凌云	35192 	13562 	31550	5922000000	187700
百色	乐业	37589 	14120 	29276	4204000000	143600
百色	田林	37209 	17356 	49552	10723000000	216400
百色	西林	32937 	15548 	35804	5009000000	139900
百色	隆林	38645 	13841 	27413	9507000000	346800
百色	靖西	36944 	15787 	38333	18511000000	482900
百色	平果	43448 	19321 	74946	33733000000	450100
贺州	八步	42239 	18732 	50272	33230000000	661000
贺州	平桂	38311 	17859 	65735	25768000000	392000
贺州	昭平	37865 	16551 	31739	10474000000	330000
贺州	钟山	37653 	17004 	43815	15769000000	359900
贺州	富川	36767 	17020 	45863	12273000000	267600
河池	金城江	45761 	16851 	70714	26037000000	368200
河池	宜州	44886 	17923 	31457	17163000000	545600
河池	南丹	43433 	16827 	57722	15764000000	273100
河池	天峨	33222 	13663 	43205	6053000000	140100
河池	凤山	30299 	12258 	22045	3611000000	163800
河池	东兰	30647 	12363 	28663	5939000000	207200
河池	罗城	30313 	12510 	31392	8413000000	268000
河池	环江	35256 	15308 	34119	9144000000	268000
河池	巴马	33718 	12597 	34877	8081000000	231700
河池	都安	30862 	12672 	16904	8920000000	527700
河池	大化	30443 	12803 	20039	7218000000	360200
来宾	兴宾	42874 	18441 	52797	48663000000	921700
来宾	忻城	40746 	16929 	32227	9465000000	293700
来宾	象州	42280 	17954 	46089	12882000000	279500
来宾	武宣	41591 	18229 	47718	16062000000	336600
来宾	金秀	41964 	15331 	47904	5964000000	124500
来宾	合山	40647 	18092 	53680	5105000000	95100
崇左	江州	43195 	20364 	61880	26992000000	436200
崇左	扶绥	41626 	20780 	78281	31735000000	405400
崇左	宁明	35216 	17681 	40613	12716000000	313100
崇左	龙州	36280 	15932 	51478	11701000000	227300
崇左	大新	41098 	18959 	39686	11001000000	277200
崇左	天等	34975 	15924 	30965	8472000000	273600
崇左	凭祥	44283 	17729 	71168	9138000000	128400
