市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
南昌	东湖	56429 				
南昌	西湖	56139 				
南昌	青云谱	54855 				
南昌	湾里	48409 	19646 			
南昌	青山湖	55569 				
南昌	南昌	50595 	28732 			
南昌	新建	49351 	26061 			
南昌	安义	45070 	23895 			
南昌	进贤	46797 	26334 			
景德镇	昌江	51189 	24515 			
景德镇	珠山	51907 				
景德镇	浮梁	40319 	24753 			
景德镇	乐平	46083 	23462 			
萍乡	安源	49400 	29112 			
萍乡	湘东	47503 	26244 			
萍乡	莲花	32710 	17088 			
萍乡	上栗	43876 	25618 			
萍乡	芦溪	44229 	26668 			
九江	濂溪	50239 	26739 			
九江	浔阳	50531 				
九江	柴桑	44972 	23363 			
九江	武宁	44740 	22724 			
九江	修水	39253 	17131 			
九江	永修	45763 	24064 			
九江	德安	47104 	24361 			
九江	庐山	42944 	21822 			
九江	都昌	34380 	14098 			
九江	湖口	47123 	23159 			
九江	彭泽	43053 	23102 			
九江	瑞昌	44975 	22914 			
九江	共青城	47605 	24298 			
新余	渝水	50651 	25742 			
新余	分宜	42332 	24684 			
鹰潭	月湖	49941 	24876 			
鹰潭	余江	43639 	24692 			
鹰潭	贵溪	47165 	23367 			
赣州	章贡	54412 	24423 			
赣州	赣县	40362 	17487 			
赣州	信丰	41688 	20564 			
赣州	大余	37425 	17973 			
赣州	上犹	36371 	17144 			
赣州	崇义	37551 	16248 			
赣州	安远	33437 	16058 			
赣州	龙南	40891 	18019 			
赣州	定南	37866 	16493 			
赣州	全南	36423 	14635 			
赣州	宁都	33497 	16789 			
赣州	于都	39446 	16936 			
赣州	兴国	37499 	17134 			
赣州	会昌	36500 	17280 			
赣州	寻乌	35526 	17937 			
赣州	石城	34175 	16738 			
赣州	瑞金	41013 	18033 			
赣州	南康	43349 	17929 			
吉安	吉州	50585 	25105 			
吉安	青原	49229 	20496 			
吉安	吉安	43010 	18409 			
吉安	吉水	40424 	24523 			
吉安	峡江	37737 	18891 			
吉安	新干	43924 	23436 			
吉安	永丰	42552 	24585 			
吉安	泰和	39780 	22448 			
吉安	遂川	36692 	17759 			
吉安	万安	36642 	17477 			
吉安	安福	39300 	21925 			
吉安	永新	33653 	16852 			
吉安	井冈山	46227 	17455 			
宜春	袁州	48138 	21073 			
宜春	奉新	43960 	24399 			
宜春	万载	38618 	17559 			
宜春	上高	43542 	24857 			
宜春	宜丰	42984 	22364 			
宜春	靖安	40568 	20818 			
宜春	铜鼓	34334 	14940 			
宜春	丰城	46468 	25180 			
宜春	樟树	47172 	24397 			
宜春	高安	44277 	24296 			
抚州	临川	53941 	27085 			
抚州	南城	45769 	24703 			
抚州	黎川	37518 	20217 			
抚州	南丰	43126 	30883 			
抚州	崇仁	39084 	25690 			
抚州	乐安	32351 	15963 			
抚州	宜黄	36793 	20727 			
抚州	金溪	40657 	21840 			
抚州	资溪	36209 	20725 			
抚州	东乡	47441 	25241 			
抚州	广昌	35350 	16889 			
上饶	信州	50045 	24833 			
上饶	广信	38705 	17147 			
上饶	广丰	50506 	24227 			
上饶	玉山	43495 	22946 			
上饶	铅山	35476 	18924 			
上饶	横峰	33279 	17388 			
上饶	弋阳	43049 	20528 			
上饶	余干	33650 	17041 			
上饶	鄱阳	33029 	17049 			
上饶	万年	43413 	20327 			
上饶	婺源	35560 	20055 			
上饶	德兴	46216 	22432 			
