市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
武汉	江岸					1051200
武汉	江汉					690600
武汉	硚口					750200
武汉	汉阳					900700
武汉	武昌					1281700
武汉	青山					513000
武汉	洪山					2718700
武汉	东西湖					925700
武汉	汉南					191000
武汉	蔡甸	46184	29611	45207	50288000000	1112400
武汉	江夏	46799	31369	80209	117033000000	1459100
武汉	黄陂	47229	29867	106005	132146000000	1246600
武汉	新洲	43001	28302	121216	113107000000	933100
黄石	黄石港					229500
黄石	西塞山					193200
黄石	下陆					216800
黄石	铁山					39700
黄石	大冶	52532	28807	100087	86315000000	862400
黄石	阳新	37592	17735	52598	47228000000	897900
十堰	茅箭					573200
十堰	张湾					411200
十堰	郧阳	36484	15675	58142	23001000000	395600
十堰	郧西	34941	15074	33469	12417000000	371000
十堰	竹山	34771	15220	44204	15237000000	344700
十堰	竹溪	35247	14817	42425	11968000000	282100
十堰	房县	36430	15393	49797	18410000000	369700
十堰	丹江口	38342	17386	90012	36518000000	405700
宜昌	西陵					534100
宜昌	伍家岗					337900
宜昌	点军					103000
宜昌	猇亭					69200
宜昌	夷陵	50391	30809	139529	78220000000	560600
宜昌	远安	43852	27828	127946	22672000000	177200
宜昌	兴山	38118	18684	110325	15964000000	144700
宜昌	秭归	36582	16166	69060	21443000000	310500
宜昌	长阳	37986	15874	63679	20320000000	319100
宜昌	五峰	34952	15558	69370	11224000000	161800
宜昌	宜都	50866	30803	256869	92062000000	358400
宜昌	当阳	46441	31390	152219	63734000000	418700
宜昌	枝江	45909	31657	199536	85561000000	428800
襄阳	襄城					476500
襄阳	樊城					930500
襄阳	襄州	43589	27079	89168	83015000000	931000
襄阳	南漳	43546	23029	86375	39292000000	454900
襄阳	谷城	44882	23572	101667	49085000000	482800
襄阳	保康	38645	17419	85321	19018000000	222900
襄阳	老河口	47548	26204	105184	44314000000	421300
襄阳	枣阳	48638	26004	93099	82802000000	889400
襄阳	宜城	43292	26195	103408	48519000000	469200
鄂州	梁子湖					126100
鄂州	华容	39528	26583	182742	46179000000	252700
鄂州	鄂城	45133	26579	101112	70111000000	693400
荆门	东宝	47329	27027	132255	46514000000	351700
荆门	掇刀					426400
荆门	京山	42284	25713	77183	40984000000	531000
荆门	沙洋	41746	26191	83764	32517000000	388200
荆门	钟祥	42465	26481	75117	64052000000	852700
孝感	孝南	47355	26185	58820	56814000000	965900
孝感	孝昌	38301	16394	40669	19196000000	472000
孝感	大悟	38246	16788	47075	22351000000	474800
孝感	云梦	45078	26490	58047	24612000000	424000
孝感	应城	46270	27048	107573	50086000000	465600
孝感	安陆	44277	22789	64895	31604000000	487000
孝感	汉川	45172	26172	98947	87321000000	882500
荆州	沙市					685400
荆州	荆州	48305	27408	73352	42874000000	584500
荆州	公安	42179	25909	55265	40432000000	731600
荆州	监利	38230	23918	38540	40109000000	1040700
荆州	江陵	38912	22118	48559	14626000000	301200
荆州	石首	40408	24413	58608	27036000000	461300
荆州	洪湖	40889	24404	53711	36980000000	688500
荆州	松滋	41448	24994	78068	50143000000	642300
黄冈	黄州	44161	24013	67401	33788000000	501300
黄冈	团风	34962	18063	53916	14293000000	265100
黄冈	红安	35499	16723	52336	26016000000	497100
黄冈	罗田	34997	16425	41220	19093000000	463200
黄冈	英山	34015	16916	44668	13588000000	304200
黄冈	浠水	38183	20080	43168	30356000000	703200
黄冈	蕲春	37600	20076	43127	32794000000	760400
黄冈	黄梅	39809	21963	41563	31916000000	767900
黄冈	麻城	39827	19221	53421	46519000000	870800
黄冈	武穴	42017	22982	60857	40105000000	659000
咸宁	咸安	46250	23693	74457	45352000000	609100
咸宁	嘉鱼	40440	24432	96569	27812000000	288000
咸宁	通城	38037	21533	49402	21134000000	427800
咸宁	崇阳	36181	21101	45748	19411000000	424300
咸宁	通山	33140	16641	38785	15006000000	386900
咸宁	赤壁	42372	24313	112659	53209000000	472300
随州	曾都	41257	24470	89752	61462000000	684800
随州	随县	34624	23330	47365	29916000000	631600
随州	广水	37613	22845	60682	41707000000	687300
恩施	恩施	41665	16311	53738	47827000000	890000
恩施	利川	38461	15591	36853	26372000000	715600
恩施	建始	36451	15526	38527	15199000000	394500
恩施	巴东	37404	15303	42096	16005000000	380200
恩施	宣恩	35911	15439	38975	10722000000	275100
恩施	咸丰	36350	15464	39415	12132000000	307800
恩施	来凤	36700	15342	43366	10963000000	252800
恩施	鹤峰	36434	16545	51084	8909000000	174400
仙桃	仙桃	43114	26578	92785	101433000000	1093200
潜江	潜江	41462	24791	107511	90492000000	841700
天门	天门	38425	23812	65110	71217000000	1093800
神农架	神农架					57900
