市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
长沙	芙蓉	71869.7 		196396		
长沙	天心	72085.0 		154559		
长沙	岳麓	71688.0 		121739		
长沙	开福	71017.0 		141184		
长沙	雨花	72557.3 		180050		
长沙	望城	62636.8 	46775.0 	118498		
长沙	长沙	61908.4 	46168.0 	149026		
长沙	浏阳	61113.0 	45968.1 	118144		
长沙	宁乡	57041.0 	39383.0 	104119		
株洲	荷塘	60314.0 		83417		
株洲	芦淞	63532.4 		156977		
株洲	石峰	60760.0 		127750		
株洲	天元	69297.0 		118591		
株洲	渌口	45545.0 	27646.0 	71285		
株洲	攸县	51360.9 	37524.8 	74969		
株洲	茶陵	44397.3 	14929.0 	56310		
株洲	炎陵	38081.1 	13836.2 	66348		
株洲	醴陵	53088.3 	38182.1 	102411		
湘潭	雨湖	50003.4 	44250.3 	129589		
湘潭	岳塘	49130.2 	44532.1 	143634		
湘潭	湘潭	45812.4 	27211.9 	75438		
湘潭	湘乡	46435.8 	26669.4 	81487		
湘潭	韶山	53507.0 	38223.9 	114025		
衡阳	珠晖	49095.0 		86695		
衡阳	雁峰	47775.0 		114256		
衡阳	石鼓	50611.0 		135323		
衡阳	蒸湘	48960.2 		99764		
衡阳	南岳	54211.4 		85889		
衡阳	衡阳	44828.0 	26499.9 	51675		
衡阳	衡南	44432.4 	30231.4 	55064		
衡阳	衡山	44746.9 	30180.0 	71405		
衡阳	衡东	44544.5 	28759.1 	66077		
衡阳	祁东	36148.3 	21189.2 	51227		
衡阳	耒阳	46465.0 	29856.0 	43824		
衡阳	常宁	43962.0 	25282.0 	61703		
邵阳	双清	41030.0 	28825.0 	69206		
邵阳	大祥	40050.0 	28438.0 	62590		
邵阳	北塔	36602.3 	25889.2 	55415		
邵阳	新邵	36450.2 	17066.0 	33633		
邵阳	邵阳	35551.6 	16958.1 	30947		
邵阳	隆回	33777.1 	16587.3 	30927		
邵阳	洞口	36136.3 	16788.5 	34751		
邵阳	绥宁	33174.5 	15536.6 	40469		
邵阳	新宁	34641.3 	15328.1 	29361		
邵阳	城步	30657.4 	13472.4 	31597		
邵阳	武冈	36261.2 	18943.0 	36284		
邵阳	邵东	45746.0 	31669.0 	75302		
岳阳	岳阳楼	48791.2 		164799		
岳阳	云溪	50767.4 		233773		
岳阳	君山	43399.6 	27148.5 	105055		
岳阳	岳阳	38862.8 	24655.1 	80510		
岳阳	华容	40196.0 	28812.0 	77098		
岳阳	湘阴	41624.0 	26961.1 	77484		
岳阳	平江	31792.2 	14576.1 	51887		
岳阳	汨罗	43124.2 	26269.8 	91566		
岳阳	临湘	39298.1 	23653.0 	80961		
常德	武陵	51360.1 	38738.1 	183749		
常德	鼎城	45275.0 	23510.0 	71692		
常德	安乡	35668.8 	22981.0 	64638		
常德	汉寿	41789.0 	24700.0 	60817		
常德	澧县	39387.2 	24474.2 	69314		
常德	临澧	43089.4 	25227.7 	71392		
常德	桃源	40093.1 	22370.3 	63962		
常德	石门	33621.4 	18122.0 	67977		
常德	津市	45098.9 	23029.2 	103429		
张家界	永定	37456.1 	15221.3 	49863		
张家界	武陵源	38897.6 	19581.1 	84848		
张家界	慈利	32450.3 	16363.3 	35832		
张家界	桑植	22728.7 	12906.3 	32003		
益阳	资阳	40964.7 	27504.3 	65831		
益阳	赫山	49731.9 	28568.3 	78950		
益阳	南县	38400.0 	24100.0 	58816		
益阳	桃江	39430.0 	22769.1 	48175		
益阳	安化	24716.0 	14076.0 	37244		
益阳	沅江	45484.7 	26794.5 	54969		
郴州	北湖	49730.2 	32463.2 	90212		
郴州	苏仙	47605.1 	29748.3 	98232		
郴州	桂阳	46653.8 	28538.9 	67149		
郴州	宜章	40073.1 	14666.2 	50113		
郴州	永兴	43688.1 	26252.2 	76528		
郴州	嘉禾	37956.2 	23629.1 	48314		
郴州	临武	37225.3 	19367.4 	50711		
郴州	汝城	29353.0 	15143.4 	33666		
郴州	桂东	27800.7 	14540.3 	34306		
郴州	安仁	33914.0 	16708.4 	41910		
郴州	资兴	46909.1 	29309.2 	126253		
永州	零陵	40608.1 	27664.9 	50038		
永州	冷水滩	44351.0 	29584.9 	75401		
永州	东安	40738.2 	21678.1 	47711		
永州	双牌	34510.0 	13309.0 	62412		
永州	道县	37325.8 	23090.0 	47381		
永州	江永	32689.0 	15033.1 	48334		
永州	宁远	36183.2 	21356.1 	41596		
永州	蓝山	39222.0 	21454.0 	49927		
永州	新田	33530.0 	13874.0 	31034		
永州	江华	33546.0 	15703.0 	37342		
永州	祁阳	42534.4 	20322.1 	54212		
怀化	鹤城	43208.3 	22486.4 	63242		
怀化	中方	37016.2 	17381.3 	58579		
怀化	沅陵	31359.4 	15209.4 	41407		
怀化	辰溪	32355.0 	15728.1 	36962		
怀化	溆浦	31888.3 	17543.4 	30173		
怀化	会同	30197.0 	15825.0 	37598		
怀化	麻阳	31398.2 	13727.2 	41846		
