市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
重庆	万州	51548	22364			
重庆	黔江	44436	18092			
重庆	涪陵	50735	22097			
重庆	渝中	55838				
重庆	大渡口	50594				
重庆	江北	55005				
重庆	沙坪坝	51601				
重庆	九龙坡	54022	29460			
重庆	南岸	52015				
重庆	北碚	51137	27170			
重庆	渝北	53685	26515			
重庆	巴南	53113	27209			
重庆	长寿	46625	22504			
重庆	江津	49834	27222			
重庆	合川	46880	25184			
重庆	永川	49785	26834			
重庆	南川	45124	21562			
重庆	綦江	41498	21355			
重庆	大足	46626	24171			
重庆	璧山	51327	27018			
重庆	铜梁	49675	26084			
重庆	潼南	45159	22375			
重庆	荣昌	47382	24686			
重庆	开州	42708	20530			
重庆	梁平	47591	23095			
重庆	武隆	47936	19867			
重庆	城口	35838	14294			
重庆	丰都	43439	20317			
重庆	垫江	47724	23582			
重庆	忠县	48156	22196			
重庆	云阳	37782	18063			
重庆	奉节	38057	16899			
重庆	巫山	40936	15628			
重庆	巫溪	33305	14084			
重庆	石柱	42630	19807			
重庆	秀山	44033	17111			
重庆	酉阳	34497	14878			
重庆	彭水	38821	16962			
