市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
广州	越秀	93522		362050		
广州	海珠	88742		170049		
广州	荔湾	86783		116081		
广州	天河	97805		295226		
广州	白云	85290	41741	85743		
广州	黄埔	90429		353143		
广州	花都	69902	38711	106922		
广州	番禺	79574	54018	108344		
广州	南沙	68500	46752	235813		
广州	从化	54883	31508	59996		
广州	增城	66399	38207	88650		
深圳	福田	107685		389156		
深圳	罗湖	85016		238365		
深圳	盐田	88041		299833		
深圳	南山	108015		518748		
深圳	宝安	73659		115620		
深圳	龙岗	68112		148607		
深圳	龙华	75353		124607		
深圳	坪山	73793		232861		
深圳	光明	71217		147550		
珠海	香洲	78408		210131		
珠海	金湾	51909		206260		
珠海	斗门	59420	40077	86586		
汕头	金平	47657		84134		
汕头	龙湖	50398		102596		
汕头	澄海	36876	26424	68824		
汕头	濠江	34998	23769	71075		
汕头	潮阳	32645	22043	32957		
汕头	潮南	31204	23342	36398		
汕头	南澳	22166	18975	67181		
佛山	禅城	68639		178981		
佛山	南海	71299	50930	108531		
佛山	顺德	74666		131988		
佛山	高明	49496	37885	232209		
佛山	三水	53449	41692	173459		
韶关	浈江	49107	26357	64723		
韶关	武江	50279	28080	82561		
韶关	曲江	40988	26110	65483		
韶关	乐昌	35476	23119	41511		
韶关	南雄	36301	23365	42573		
韶关	仁化	37468	25183	65173		
韶关	始兴	35528	23718	52437		
韶关	翁源	36698	23122	48268		
韶关	新丰	35351	23146	46231		
韶关	乳源	37002	23121	67742		
河源	源城	39542	31832	77269		
河源	东源	32335	23836	55367		
河源	和平	32054	23062	40607		
河源	龙川	30285	23408	32616		
河源	紫金	29641	23782	38471		
河源	连平	30738	23279	41021		
梅州	梅江	46586	28348	74307		
梅州	梅县	42709	29292	50086		
梅州	兴宁	33515	25226	29390		
梅州	平远	33742	25539	55942		
梅州	蕉岭	36376	26199	65183		
梅州	大埔	30665	20558	35952		
梅州	丰顺	32246	20700	29920		
梅州	五华	28825	19440	21858		
惠州	惠城	65795	33798	106533		
惠州	惠阳	55088	34758	133926		
惠州	惠东	37901	30466	80716		
惠州	博罗	44286	31007	78318		
惠州	龙门	34545	29605	63342		
汕尾	城区	39189	25394	92907		
汕尾	陆丰	35417	24079	37453		
汕尾	海丰	43315	27177	62085		
汕尾	陆河	30393	18789	59118		
江门	蓬江	61309		109560		
江门	江海	56554		83701		
江门	新会	52692	33651	116708		
江门	台山	38026	24600	64554		
江门	开平	39722	26981	69461		
江门	鹤山	43015	28283	97592		
江门	恩平	34484	22961	52158		
阳江	江城	43162	30343	68823		
阳江	阳东	39180	26829	80219		
阳江	阳春	35330	24400	44454		
阳江	阳西	33075	27080	64872		
湛江	赤坎	44508		88453		
湛江	霞山	52809	22206	68709		
湛江	麻章	37857	25704	112472		
湛江	坡头	39668	23183	118471		
湛江	雷州	29868	19730	29345		
湛江	廉江	35502	26401	42083		
湛江	吴川	32681	27302	34192		
湛江	遂溪	31349	24614	51197		
湛江	徐闻	31551	23890	40864		
茂名	茂南	40048	25753	109036		
茂名	电白	35045	25142	57526		
茂名	信宜	33970	24873	55915		
茂名	高州	34803	25592	60762		
茂名	化州	33642	25016	49621		
肇庆	端州	46584		79878		
肇庆	鼎湖	37420	33842	77836		
肇庆	高要	36206	29818	75654		
肇庆	四会	44435	32866	122672		
肇庆	广宁	33062	22270	51323		
肇庆	德庆	32722	26244	50257		
肇庆	封开	33491	22169	49210		
肇庆	怀集	37038	22501	41065		
清远	清城	44303	29629	72735		
清远	清新	39462	23817	55645		
清远	英德	36318	24072	46383		
清远	连州	38264	20930	49246		
清远	佛冈	38272	23415	59568		
清远	阳山	36100	21450	39454		
清远	连山	32651	20272	59085		
清远	连南	32934	20171	53087		
潮州	湘桥	37841	25001	57056		
潮州	潮安	31424	25346	58856		
潮州	饶平	29075	21573	46217		
揭阳	榕城	31848	23066	59033		
揭阳	揭东	34842	23066	47857		
揭阳	普宁	34685	23693	32833		
揭阳	揭西	26350	16871	39300		
揭阳	惠来	29315	19136	54992		
云浮	云城	35783	24017	72918		
云浮	云安	32322	22795	62368		
云浮	罗定	34811	22525	37389		
云浮	新兴	36086	26365	80588		
云浮	郁南	33015	21971	42916		
东莞	东莞	69769.2	49408.9	116661		
中山	中山	67478.5	48118.5	92558		
