市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
福州	鼓楼	71860 		462022		
福州	台江	65326 		189120		
福州	仓山	55396 		94189		
福州	马尾	67107 	39389 	251844		
福州	晋安	61694 	30913 	168566		
福州	长乐	62446 	34680 	167038		
福州	福清	62427 	36446 	134284		
福州	闽侯	58932 	29316 	113586		
福州	连江	49417 	28143 	131473		
福州	罗源	46002 	23586 	194861		
福州	闽清	43763 	23122 	201342		
福州	永泰	41539 	22613 	137997		
福州	平潭	52940 	25282 	95518		
厦门	思明	92389 		272943		
厦门	海沧	70024 		172906		
厦门	湖里	74383 		177698		
厦门	集美	68590 	44194 	96884		
厦门	同安	63534 	33384 	89378		
厦门	翔安	54253 	32800 	146156		
莆田	城厢	58779 	31252 	134101		
莆田	涵江	47806 	26693 	143429		
莆田	荔城	56312 	31765 	94113		
莆田	秀屿	42674 	29298 	109221		
莆田	仙游	43800 	25693 	83294		
三明	三元	52862 	29028 	169006		
三明	沙县	49816 	29732 	134184		
三明	永安	49605 	28024 	145820		
三明	明溪	40690 	24937 	130467		
三明	清流	42251 	25370 	108134		
三明	宁化	40136 	24920 	91135		
三明	大田	49788 	26922 	88193		
三明	尤溪	46796 	27737 	77676		
三明	将乐	47234 	26970 	141719		
三明	泰宁	44030 	25355 	85811		
三明	建宁	40238 	24865 	122976		
泉州	鲤城	62259 		188694		
泉州	丰泽	74865 		132714		
泉州	洛江	56949 	27131 	155600		
泉州	泉港	47984 	30000 	138144		
泉州	石狮	79033 	38801 	185521		
泉州	晋江	68353 	36710 	174896		
泉州	南安	62825 	33953 	120575		
泉州	惠安	59675 	32233 	166797		
泉州	安溪	44778 	25498 	99819		
泉州	永春	43579 	24920 	107347		
泉州	德化	47374 	24626 	124725		
漳州	芗城	58353 	29829 	166101		
漳州	龙文	58642 	31971 	162308		
漳州	龙海	53255 	31298 	145840		
漳州	长泰	53281 	31252 	170754		
漳州	云霄	45493 	27457 	87706		
漳州	漳浦	52383 	32936 	90195		
漳州	诏安	43168 	26914 	61975		
漳州	东山	50366 	34537 	135777		
漳州	南靖	46770 	28911 	143692		
漳州	平和	43808 	28783 	69242		
漳州	华安	47550 	28654 	134314		
南平	延平	45303 	26818 	84626		
南平	建阳	45621 	25042 	82611		
南平	邵武	45824 	28609 	93904		
南平	武夷山	46405 	27189 	90375		
南平	建瓯	45029 	26577 	67024		
南平	顺昌	41213 	23717 	83232		
南平	浦城	41630 	22650 	60391		
南平	光泽	41526 	21307 	107731		
南平	松溪	39881 	19458 	69741		
南平	政和	39791 	19926 	68043		
龙岩	新罗	53924 	32585 	137969		
龙岩	永定	52963 	28892 	110433		
龙岩	漳平	47733 	27379 	134455		
龙岩	长汀	36882 	25582 	91169		
龙岩	上杭	55158 	27602 	151522		
龙岩	武平	46908 	26342 	118993		
龙岩	连城	43003 	25535 	132190		
宁德	蕉城	49048 	26557 	195494		
宁德	福安	50497 	27531 	153758		
宁德	福鼎	49851 	26753 	104624		
宁德	霞浦	46159 	26830 	79660		
宁德	古田	44296 	28102 	83157		
宁德	屏南	37934 	23086 	92817		
宁德	寿宁	36275 	23471 	68531		
宁德	周宁	40177 	24507 	82057		
宁德	柘荣	37306 	23516 	104203		
