市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
西安	新城			127669	80112000000	627500
西安	碑林			149265	116292000000	779100
西安	莲湖			86175	89424000000	1037700
西安	灞桥			74219	80921000000	1090300
西安	未央			102831	168561000000	1639200
西安	雁塔			154185	331267000000	2148500
西安	阎良			109229	34276000000	313800
西安	临潼			43806	30108000000	687300
西安	长安			96058	159302000000	1658400
西安	高陵			98020	46383000000	473200
西安	鄠邑			92229	54461000000	590500
西安	蓝田			41921	20596000000	491300
西安	周至			46830	25953000000	554200
铜川	王益			89603	11666271428.5714	130200
铜川	印台			70619	9067500000	128400
铜川	耀州			177567	31873300000	179500
铜川	宜君			89515	6275000000	70100
宝鸡	渭滨			109990	60274440000	548000
宝鸡	金台			83351	39291730000	471400
宝鸡	陈仓			62061	28442540000	458300
宝鸡	凤翔			79145	29457790000	372200
宝鸡	岐山			56010	19558720000	349200
宝鸡	扶风			59848	18157900000	303400
宝鸡	眉县			65183	17847110000	273800
宝鸡	陇县			49743	9804360000	197100
宝鸡	千阳			74938	7209070000	96200
宝鸡	麟游			187637	13040740000	69500
宝鸡	凤县			93625	7171680000	76600
宝鸡	太白			119311	4545740000	38100
咸阳	秦都			73671	47046000000	638600
咸阳	渭城			119662	35743000000	298700
咸阳	三原			77832	26424000000	339500
咸阳	泾阳			45271	14016000000	309600
咸阳	乾县			47471	20778000000	437700
咸阳	礼泉			59033	20443000000	346300
咸阳	永寿			69379	10622000000	153100
咸阳	长武			110317	15676000000	142100
咸阳	旬邑			67036	13568000000	202400
咸阳	淳化			77185	10366000000	134300
咸阳	武功			68663	21107000000	307400
咸阳	兴平			64662	31012000000	479600
咸阳	彬州			114404	33326000000	291300
渭南	临渭			59803	53853000000	900500
渭南	华州			45162	11855100000	262500
渭南	潼关			38434	4712000000	122600
渭南	大荔			36786	21314000000	579400
渭南	合阳			37707	13288000000	352400
渭南	澄城			44951	13359400000	297200
渭南	蒲城			44390	28746800000	647600
渭南	白水			49827	10897100000	218700
渭南	富平			34801	21851600000	627900
渭南	韩城			73667	27581000000	374400
渭南	华阴			41492	8315000000	200400
延安	宝塔			73456	48260330000	657000
延安	安塞			100804	16007720000	158800
延安	延长			75768	8713300000	115000
延安	延川			108283	14618200000	135000
延安	志丹			133757	20076900000	150100
延安	吴起			153427	21725270000	141600
延安	甘泉			70640	5149650000	72900
延安	富县			94088	12871290000	136800
延安	洛川			160893	31889030000	198200
延安	宜川			59479	6471300000	108800
延安	黄龙			71506	2874560000	40200
延安	黄陵			250192	30273180000	121000
延安	子长			91318	19405040000	212500
汉中	汉台			69885	43272490000	619200
汉中	南郑			54990	25339580000	460800
汉中	城固			71735	31204920000	435000
汉中	洋县			62177	21071930000	338900
汉中	西乡			43152	13592790000	315000
汉中	勉县			57003	19255530000	337800
汉中	宁强			53944	13437400000	249100
汉中	略阳			57506	7976040000	138700
汉中	镇巴			53944	11042260000	204700
汉中	留坝			85076	2926600000	34400
汉中	佛坪			72219	1870460000	25900
榆林	榆阳			201512	200262440000	993800
榆林	横山			150838	43019110000	285200
榆林	府谷			417674	106673900000	255400
榆林	靖边			141012	55361200000	392600
榆林	定边			126265	43031060000	340800
榆林	绥德			52081	12957860000	248800
榆林	米脂			71692	9434630000	131600
榆林	佳县			115853	11295620000	97500
榆林	吴堡			79433	3812780000	48000
榆林	清涧			79149	8753870000	110600
榆林	子洲			78095	10004020000	128100
榆林	神木			428456	250261210000	584100
安康	汉滨			49174	44049970000	895800
安康	汉阴			42297	9977830000	235900
安康	石泉			52532	7879770000	150000
安康	宁陕			55872	3268530000	58500
安康	紫阳			35229	8941160000	253800
安康	岚皋			44717	5866860000	131200
安康	平利			47683	8396960000	176100
安康	镇坪			54844	2511850000	45800
安康	白河			44441	7097270000	159700
安康	旬阳			46505	16062800000	345400
商洛	商州			41044	19130686516.1159	466100
商洛	洛南			32740	11796389060.3301	360300
商洛	丹凤			34039	8291892969.18304	243600
商洛	商南			40957	8228162312.99031	200900
商洛	山阳			37610	13347648655.6754	354900
商洛	镇安			38320	9583800463.55878	250100
商洛	柞水			56261	7634580022.14648	135700
咸阳	杨陵			64900	16225000000	250000
